sample	rotifer_0.06_1x_20	rotifer_0.06_1x_23	rotifer_0.06_1x_25	rotifer_0.06_1x_30	rotifer_0.06_2x_20	rotifer_0.06_2x_23	rotifer_0.06_2x_25	rotifer_0.06_2x_30	rotifer_0.06_4x_20	rotifer_0.06_4x_23	rotifer_0.06_4x_25	rotifer_0.06_4x_30	rotifer_0.06_8x_20	rotifer_0.06_8x_23	rotifer_0.06_8x_25	rotifer_0.06_8x_30	rotifer_0.0_1x_17	rotifer_0.0_1x_20	rotifer_0.0_1x_23	rotifer_0.0_1x_25	rotifer_0.0_1x_30	rotifer_0.0_2x_17	rotifer_0.0_2x_20	rotifer_0.0_2x_23	rotifer_0.0_2x_25	rotifer_0.0_2x_30	rotifer_0.0_4x_17	rotifer_0.0_4x_20	rotifer_0.0_4x_23	rotifer_0.0_4x_25	rotifer_0.0_4x_30	rotifer_0.0_8x_17	rotifer_0.0_8x_20	rotifer_0.0_8x_23	rotifer_0.0_8x_25	rotifer_0.0_8x_30
rotifer_0.06_4x_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057384401798733345	0.057246544436667386	0.0586901347777658	0.058399824576232315	0.0586250790884453	0.05810326572126516	0.058716380040120975	0.05903137792568138	0.059331098389630556	0.059694057853423646	0.05810189601948719	0.059094865576772466	0.0596401362453828	0.05976082466855565	0.06007935828330635	0.05769236647062782	0.05852353031388471	0.059250054813624144	0.0595495784540242	0.06010265300839373
rotifer_0.06_4x_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05711606637063933	0.05698541888503338	0.05828238720839291	0.05807529652487974	0.0581081030423421	0.057674480053829705	0.05840564021425961	0.0588771333489853	0.05901483005713181	0.05934478896497437	0.0576388011922545	0.058899199354757695	0.059349279913566366	0.05935736136957364	0.0598571428941673	0.057719682746918605	0.05848575420178751	0.059013718941957595	0.05941743058402793	0.05970626304547632
rotifer_0.06_8x_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0576790165109594	0.0578752169124813	0.05870726490060422	0.0586513062809192	0.05901018572805847	0.057642725896693045	0.058635546639737225	0.059401227833988955	0.05967298358657906	0.06017969919839336	0.057776909577242894	0.05901300811403586	0.05961707728427258	0.05996164721515622	0.06027368257295591	0.057512552634315206	0.05878250846439309	0.059345302472485935	0.059712688241720865	0.06003768608084697
rotifer_0.06_8x_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057695047437762076	0.05778173348793396	0.05855253017892532	0.05859629621521035	0.058581304095812824	0.05766150727293137	0.058589729075306414	0.05909366256638346	0.05942004036958747	0.0597254719616048	0.057632686926986816	0.05909132419162681	0.05939467561339749	0.059682708328836966	0.06002239549695286	0.057187695328060804	0.05855387208220489	0.059029572224248164	0.05933707170346554	0.05995981014337326
rotifer_0.06_8x_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05731898059779635	0.0575752845989213	0.05835467803192672	0.05833698509423769	0.05855106655072475	0.05787547421829562	0.05857287598927553	0.05898128322116837	0.059384294663950364	0.05961051334423136	0.05757009666615409	0.058856481078035594	0.0594495130502437	0.059573255648807645	0.05997265071461093	0.057274510288346854	0.05845625724444014	0.058985395884037034	0.0591966774719877	0.059961837774162925
rotifer_0.06_8x_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05696807837202722	0.056665667489906986	0.05817385127797087	0.057955574805737646	0.05799622460778165	0.05754584168034599	0.05824905086404339	0.05845066413127353	0.0588564572189324	0.059126293690441346	0.05747250003476189	0.05860896105634941	0.05908274138678099	0.05915656224358607	0.05947431618741382	0.057145549432887396	0.05795421954536953	0.05869249654770267	0.05915671508250424	0.05956480807630062
rotifer_0.0_1x_17	0.06046598383646688	0.05989613485765074	0.060380091589611655	0.05965794646507183	0.0600770500009351	0.061051206164632665	0.06135668101511405	0.061200070049892204	0.06081956485732798	0.060576396383745006	0.060843520133073294	0.06089332342027421	0.05993628098250461	0.060631853598066894	0.06063652308432695	0.06087861356936445	0.0	0.0005304242611834588	0.0007724365666804396	0.0005077662900157398	0.00041378728622795354	0.0	0.0008874555558684074	0.0005465537679294795	0.0006748524924429851	0.0005811433698152368	0.0	0.0007972536866668936	0.0007234718059883148	0.0006733609162258113	0.0005818372132117396	0.0	0.0006023641033781861	0.000755231498844929	0.0007837644416078269	0.0006472951680602981
rotifer_0.0_1x_20	0.05940867955178454	0.05954157849284703	0.05963357486777639	0.05918716056370886	0.05964468238011259	0.0600637160742109	0.060021267578289086	0.059882448085517695	0.06008025412942243	0.0593200513158942	0.059563528051819185	0.05960857209720911	0.05902586152978557	0.05960448877840181	0.05977828397681642	0.05941875930177659	0.0005182455400235018	0.0	0.0	0.0	0.0	0.0004938808818280462	0.0	0.0	0.0	0.0	0.0003787579723340339	0.0	0.0	0.0	0.0	0.0004781322285392646	0.0	0.0	0.0	0.0
rotifer_0.0_1x_23	0.05919204227273401	0.060023304190421976	0.059910637208259995	0.059389929579736794	0.06046948750235581	0.06082736609342968	0.06052752625346607	0.0605883412386965	0.06053103558156804	0.06037019041228189	0.060440021835400204	0.060337494046410284	0.05926413187152135	0.05979199898533571	0.05997744681510993	0.06037022619516552	0.0007453116803718538	0.0	0.0	0.0	0.0	0.0007617341999712512	0.0003567044293795277	0.0	0.0	0.0004418081125886554	0.00048117599772935397	0.0005444036270213116	0.0	0.0	0.0	0.0007355865815153818	0.0005859143006305109	0.0	0.0003859308917577995	0.0
rotifer_0.0_1x_25	0.05953754283028138	0.05975594115881642	0.05969833262105933	0.05916850204655576	0.06021521045190454	0.06054591844435408	0.06038529982604007	0.060280970244232825	0.059868236891986275	0.06002797058234738	0.05992519808447065	0.05990558485401459	0.058989308814293935	0.05961956661459235	0.05974281694581415	0.0599267998817248	0.00048766133382451715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000371439086604265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
