sample	moss_0.06_1x_20	moss_0.06_1x_23	moss_0.06_1x_25	moss_0.06_1x_30	moss_0.06_2x_20	moss_0.06_2x_23	moss_0.06_2x_25	moss_0.06_2x_30	moss_0.06_4x_20	moss_0.06_4x_23	moss_0.06_4x_25	moss_0.06_4x_30	moss_0.06_8x_20	moss_0.06_8x_23	moss_0.06_8x_25	moss_0.06_8x_30	moss_0.0_1x_17	moss_0.0_1x_20	moss_0.0_1x_23	moss_0.0_1x_25	moss_0.0_1x_30	moss_0.0_2x_17	moss_0.0_2x_20	moss_0.0_2x_23	moss_0.0_2x_25	moss_0.0_2x_30	moss_0.0_4x_17	moss_0.0_4x_20	moss_0.0_4x_23	moss_0.0_4x_25	moss_0.0_4x_30	moss_0.0_8x_17	moss_0.0_8x_20	moss_0.0_8x_23	moss_0.0_8x_25	moss_0.0_8x_30
moss_0.06_4x_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05208801663473396	0.054680698589132326	0.055836632689995974	0.05617699011061062	0.05747325790702292	0.054697117476215806	0.056706537651870656	0.05818385867398445	0.059516884928711405	0.060411793487432267	0.05546054245887481	0.05774680240488482	0.05962580090052356	0.06010444513246155	0.06181484039110501	0.055751319979529854	0.05666584425845403	0.05850412496258189	0.059416956546245014	0.061487079542756035
moss_0.06_4x_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05156971328400435	0.05419911185371949	0.055487301805981416	0.055676950667729555	0.05693371758188174	0.054199110774786965	0.05637333272284446	0.05770076845743579	0.05901866132257865	0.05958720408324787	0.05554445590614379	0.0574685229342466	0.05900305118890419	0.059876049163035815	0.061005923577648336	0.05512763064632174	0.056554398614899234	0.05801107083264514	0.059053162308746764	0.060690704375748646
moss_0.06_8x_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054313663182423734	0.058300458830033326	0.059794253432489924	0.06005815421309318	0.061839997513984786	0.056950005587699595	0.06009505979797383	0.06195087721965517	0.06269668827423723	0.06463989007957432	0.05818849472259378	0.060674045291808414	0.06277299917258704	0.06389340989130762	0.06581947498344086	0.05855527547646092	0.05975764583886212	0.06124965803322758	0.06243901501982438	0.06533529684646346
moss_0.06_8x_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054506642018609414	0.05766251584971685	0.05898346973863723	0.05913291560921163	0.060684418163691446	0.05715990568763689	0.05933468414599784	0.061558212491365984	0.062440600431263926	0.06359047027854407	0.057910120546912525	0.06031986528512709	0.06240725764346133	0.06372972113157745	0.06492923221660869	0.05845874589310526	0.05939110670829953	0.06083590115369674	0.06202453983006458	0.06464466872837436
moss_0.06_8x_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05419650397879284	0.05726093773053508	0.05835193976392369	0.05874967102395589	0.05968529755867799	0.05743546290406399	0.05919835866467628	0.06062606859142827	0.061966530524267725	0.06280512516778396	0.05782111909716144	0.06013969941636955	0.06197058917394335	0.06270512565309513	0.06434763764735829	0.05831916567447101	0.05919965156501211	0.06042533604107805	0.06200941353658061	0.06389685312663536
moss_0.06_8x_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05360702435106045	0.056147675747923925	0.057394210420206954	0.057498460245732026	0.05851715710518047	0.05647227461759633	0.0584554463430319	0.05981896027618483	0.060867322154065324	0.061480722653197484	0.057441641198705345	0.059567289985442605	0.061283377676412454	0.06189272003090228	0.0630843145406751	0.05775798757589144	0.05875381260363231	0.060343172469238	0.06105307891113659	0.06274341829014361
moss_0.0_1x_17	0.0586855465334749	0.060250771183869324	0.06024774898182239	0.057944189317914147	0.05468758050790426	0.056026285488575175	0.0562527370835523	0.05729825657559685	0.0570160550810917	0.05820513273937238	0.058779928400300156	0.059291511812400194	0.057740349468757064	0.05937357838105969	0.059877368220766516	0.06061220594884708	0.0	0.0024677412119390113	0.0014771334075885513	0.0016791895613359445	0.0020918689008463027	0.0030223023871909596	0.002602596592426435	0.0022252161082407635	0.002002918055747273	0.0020435205277001354	0.002474035370759089	0.0021742664994318043	0.0022430827918432207	0.0024421339780384553	0.0019840647521541474	0.002358774806881007	0.0021978470897841295	0.0019849370839365526	0.002111986793990178	0.0021892879336571835
moss_0.0_1x_20	0.058554643380158124	0.0602656766250492	0.05968213692933388	0.05782109246245546	0.054102485829813154	0.0551022628749436	0.055453346021246915	0.056100155766308425	0.05650663092040015	0.057758256611187976	0.05769256114238078	0.058258578028347496	0.05768288961520794	0.05864602407150474	0.059135101720637635	0.05939981064604183	0.002220644025823817	0.0	0.0	0.0	0.0005369011851769582	0.0017416987055869468	0.0011910651548786841	0.0006303021775846911	0.0006297806720572328	0.0005770307979969639	0.001549350344920276	0.0008940056633172466	0.0008139764459335824	0.0005649818414993201	0.0004921285861095815	0.0015103263458648318	0.0013093805999571742	0.000718692986900329	0.0006678858902588376	0.0005693056648821307
moss_0.0_1x_23	0.05801572047794052	0.05919549540761199	0.05894501624454258	0.057443955183600744	0.05365103347912963	0.0542629060298718	0.05428151855333609	0.05511094005676781	0.055407038664453304	0.05654004029948277	0.056504798607876765	0.05722816160018337	0.05645339328175852	0.057416436246794385	0.05774470491687363	0.05825207352166373	0.0012360962008693614	0.0	0.0	0.0	0.0	0.0011766957109530282	0.00046237109922959085	0.0	0.0	0.0	0.0007642795769213397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
moss_0.0_1x_25	0.057382744045174225	0.058594186092139955	0.05881462317258307	0.05688664446680642	0.05266668308827209	0.05382139536076307	0.05374928319323044	0.054683541548827624	0.05490642655328079	0.05567936729732998	0.055830667670215425	0.056411855499466694	0.05552125252751583	0.05645343012431132	0.05706126438776764	0.057315476549965216	0.0013609960266890958	0.0	0.0	0.0	0.0	0.001292583961973918	0.0004320295928566884	0.0	0.0	0.0	0.0008460351615817142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
