sample	rotifer_0.06_1x_20	rotifer_0.06_1x_23	rotifer_0.06_1x_25	rotifer_0.06_1x_30	rotifer_0.06_2x_20	rotifer_0.06_2x_23	rotifer_0.06_2x_25	rotifer_0.06_2x_30	rotifer_0.06_4x_20	rotifer_0.06_4x_23	rotifer_0.06_4x_25	rotifer_0.06_4x_30	rotifer_0.06_8x_20	rotifer_0.06_8x_23	rotifer_0.06_8x_25	rotifer_0.06_8x_30	rotifer_0.0_1x_17	rotifer_0.0_1x_20	rotifer_0.0_1x_23	rotifer_0.0_1x_25	rotifer_0.0_1x_30	rotifer_0.0_2x_17	rotifer_0.0_2x_20	rotifer_0.0_2x_23	rotifer_0.0_2x_25	rotifer_0.0_2x_30	rotifer_0.0_4x_17	rotifer_0.0_4x_20	rotifer_0.0_4x_23	rotifer_0.0_4x_25	rotifer_0.0_4x_30	rotifer_0.0_8x_17	rotifer_0.0_8x_20	rotifer_0.0_8x_23	rotifer_0.0_8x_25	rotifer_0.0_8x_30
rotifer_0.06_4x_25	9.748932828346213e-05	0	0	4.913524696636973e-05	4.845527422647766e-05	0	0	0	5.5371663012060424e-05	0	0.0	0	0.00021371251944690695	8.102553127842249e-05	2.0025741601314984e-05	3.4797154906396344e-06	0.05602109367021035	0.056820223076338494	0.056860344205505675	0.05723757817148656	0.057757365759003254	0.057553801650077396	0.05760262592726073	0.05762958889451841	0.05833935114884847	0.05851842825929188	0.05647858537330819	0.057200162526242604	0.0579442063546971	0.05807513009401022	0.05857733235521545	0.05689618238153815	0.05892941245807226	0.058890015398210704	0.0590425806661774	0.05903254808120573
rotifer_0.06_4x_30	0.00013708864271644305	0	0	0	0.0001529691277590839	1.861713977946433e-05	0	0	0.00011752354306893142	1.4221586951301823e-05	0	0.0	0.0002076306500673475	7.17944585735264e-05	2.6070774299613575e-05	0	0.056133204980360896	0.05675324352815281	0.05703023280893593	0.05738965104362792	0.05780956660358383	0.05729502289857691	0.05763978139592485	0.057529134913568036	0.05793446156817872	0.05818127314451271	0.056602692966907675	0.05727481005180812	0.05780344025530071	0.057917155793701824	0.05834405592959613	0.05691741496053859	0.05875555689973966	0.058656607453088205	0.05875325451593927	0.058709980087174096
rotifer_0.06_8x_20	0.0003447163309441281	0.00013963574979891646	0.0001896337096003453	0.00028519959368678016	0.00028890374822432285	0.0002480214039517481	0.00026421114868357964	0.0002323076055857909	0.00026455697918903454	0.000257315029959182	0.00021371251944690695	0.0002076306500673475	0.0	0.0003200407590332466	0.0002838135893022953	0.0002563116090186224	0.056563517858009615	0.05725766628235052	0.05753907607818287	0.05795356373626859	0.05834804447464148	0.0575453541639902	0.05772502170872662	0.05769880868821331	0.0582176772641384	0.058542399594254224	0.056925072059787585	0.05757341006436556	0.05808328328757473	0.05821646954491333	0.05852197171858009	0.057323231557557586	0.05903733942593925	0.05892334299365787	0.05899729055487546	0.05893217774738835
rotifer_0.06_8x_23	0.00030509402953715625	0	0	0.00014737896868566303	0.00026910283135683777	6.791610820711114e-05	0.0001424931888440728	9.133078570167097e-05	0.00023095937009254275	0.00010906437294411209	8.102553127842249e-05	7.17944585735264e-05	0.0003200407590332466	0.0	0.0001565110919027335	0.00012660696637578628	0.05655767613688556	0.057082357226541314	0.05740492868400282	0.05783780864252275	0.05822168904025771	0.057619859563238784	0.05768946282310217	0.05767250275876601	0.0581820594318041	0.05849124497813607	0.05679111349662036	0.05741805993954108	0.05791353079846617	0.05812114031006499	0.05843786293371622	0.057257110343505335	0.058905024031653874	0.05881525796364118	0.058920492959401605	0.05886696429620275
rotifer_0.06_8x_25	0.0002946517111709346	0	0	0.00011871317226963551	0.0002412006705755365	9.347027872363967e-05	5.679623492638175e-05	7.340592136684254e-05	0.0002322721502202585	0.00010634200381876013	2.0025741601314984e-05	2.6070774299613575e-05	0.0002838135893022953	0.0001565110919027335	0.0	9.229456126769175e-05	0.05661743433716249	0.05712962286139245	0.05748562699751858	0.05786301284411177	0.058292402597367565	0.0577361186654024	0.057786167793953847	0.057685456454679374	0.05813451345214782	0.05851765469998116	0.05696441729413204	0.057550563506464925	0.05804328342526066	0.05815181810561587	0.05841576543067173	0.057207337661004054	0.058930557036854014	0.05885459806886273	0.05895359682397705	0.058887037394325326
rotifer_0.06_8x_30	0.0002434117180817319	0	0	6.95715109070294e-05	0.00020674452750490957	6.0563940009417117e-05	8.984240977494284e-05	1.9698125722111826e-05	0.00018227699127948416	8.376799301812454e-05	3.4797154906396344e-06	0	0.0002563116090186224	0.00012660696637578628	9.229456126769175e-05	0.0	0.05652539981683369	0.05712618316569862	0.05736903707215535	0.05771702997875905	0.05820210044287266	0.05758902676388522	0.05772824358934581	0.05764765582379139	0.058083918905624365	0.058490090177454435	0.05684288300387974	0.05748501024604602	0.05795571234048047	0.058130955669848605	0.05840639100486755	0.057215204902458905	0.05892426014042906	0.05884804337518623	0.05893374099320936	0.058857864532509296
rotifer_0.0_1x_17	0.054963923962877415	0.05619070387190339	0.05567848082929405	0.055164161740208884	0.05578266760022388	0.05590409192388157	0.05613105534072205	0.056602139907882765	0.05546668895925577	0.05569289323472648	0.05602109367021035	0.056133204980360896	0.056563517858009615	0.05655767613688556	0.05661743433716249	0.05652539981683369	0.0	8.047409060918387e-05	0	1.3173289538537247e-05	0.00024257556497997435	0	0.0003041590098996627	0.00028296239516811816	0.00027002639057538413	0.0005501466249729914	0	0	0.0003804301891300321	0.00046063460086331887	0.000770118948977494	0	0.0013327876956596985	0.0010631379015128006	0.001002966917383441	0.0009901978385405963
rotifer_0.0_1x_20	0.055129596060212394	0.056179214093759144	0.055654723888463375	0.055600253410343026	0.056073638711179985	0.05634391733325905	0.05664090273843181	0.05714743259753996	0.05629479879527477	0.05640865500051773	0.056820223076338494	0.05675324352815281	0.05725766628235052	0.057082357226541314	0.05712962286139245	0.05712618316569862	8.047409060918387e-05	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00044635797455239157	0.0003463546978362819	0.0002298494749538582	0.00016628868247303696
rotifer_0.0_1x_23	0.055295382449112584	0.0563320518592928	0.05597283446495793	0.056048974569832266	0.056778682801135516	0.05681356021375339	0.05706884865184836	0.05712678660835002	0.056450682298653576	0.05674824441848736	0.056860344205505675	0.05703023280893593	0.05753907607818287	0.05740492868400282	0.05748562699751858	0.05736903707215535	0	0	0.0	0	0	7.810891836901313e-05	0	0	0	0	0	0	0	0	0	0	0.0003892329856003407	3.817680387807609e-05	0	0
rotifer_0.0_1x_25	0.056215374390186645	0.056864187118778386	0.0566343823908767	0.056675921422420394	0.0570432717055428	0.05720189472800086	0.05729004458584741	0.05732218172645975	0.057194743966903605	0.057170956305478304	0.05723757817148656	0.05738965104362792	0.05795356373626859	0.05783780864252275	0.05786301284411177	0.05771702997875905	1.3173289538537247e-05	0	0	0.0	0	0.0002510762234023689	0	0	0	0	0.00033717001764899113	0	0	0	0	0	0.0005193573825581499	0.0002074127356177513	3.129529295609057e-05	2.0788612404731843e-05
rotifer_0.0_1x_30	0.05607636578320763	0.057347318957865934	0.05708849641039648	0.0566448606222838	0.05736401137101854	0.0575428988764376	0.057808940274074794	0.057911653400511964	0.05762996190024128	0.05765870315429655	0.057757365759003254	0.05780956660358383	0.05834804447464148	0.05822168904025771	0.058292402597367565	0.05820210044287266	0.00024257556497997435	0	0	0	0.0	0.00045166757846482053	0	0	0	0	0.000462177252368412	0	0	0	0	0	0.00046739920946847757	0.00014787277289562972	4.543425977199256e-05	0
rotifer_0.0_2x_17	0.05497492112763713	0.056891554178783776	0.05668317145473878	0.055788783517328744	0.05694925510767468	0.056840355792639574	0.05715311096001707	0.05694590896551388	0.056873627060440524	0.05721193445085104	0.057553801650077396	0.05729502289857691	0.0575453541639902	0.057619859563238784	0.0577361186654024	0.05758902676388522	0	0	7.810891836901313e-05	0.0002510762234023689	0.00045166757846482053	0.0	0.00021167627630291896	0.0002597800697756725	0.00036830456172853854	0.0005308922460953713	0	0	0.00028975753870819076	0.0003521527700235394	0.0006188022175076524	0	0.0010127447656024247	0.0009072313331732751	0.0009032564038573554	0.0009095479840145471
rotifer_0.0_2x_20	0.05547373733184757	0.056744932598673636	0.05630924340125687	0.056064268724520194	0.05720589229333717	0.05702297762244124	0.057484924729506615	0.057496854909841466	0.057115675941392885	0.05727595228630922	0.05760262592726073	0.05763978139592485	0.05772502170872662	0.05768946282310217	0.057786167793953847	0.05772824358934581	0.0003041590098996627	0	0	0	0	0.00021167627630291896	0.0	0	0	0	0	0	0	0	0	0	0.0003113722328620394	0.00023299030108536734	0.0002042634303673907	0.00017456540260629705
rotifer_0.0_2x_23	0.05669303200352427	0.05714151580024507	0.05681869176076493	0.056863744679016004	0.05719754651755682	0.057049731910282286	0.05717872030485949	0.05751400391895667	0.057631013913581386	0.05727252988752407	0.05762958889451841	0.057529134913568036	0.05769880868821331	0.05767250275876601	0.057685456454679374	0.05764765582379139	0.00028296239516811816	0	0	0	0	0.0002597800697756725	0	0.0	0	0	2.8164690950460702e-05	0	0	0	0	0	0.00028592907678104407	0	0	0
