sample	moss_0.06_1x_20	moss_0.06_1x_23	moss_0.06_1x_25	moss_0.06_1x_30	moss_0.06_2x_20	moss_0.06_2x_23	moss_0.06_2x_25	moss_0.06_2x_30	moss_0.06_4x_20	moss_0.06_4x_23	moss_0.06_4x_25	moss_0.06_4x_30	moss_0.06_8x_20	moss_0.06_8x_23	moss_0.06_8x_25	moss_0.06_8x_30	moss_0.0_1x_17	moss_0.0_1x_20	moss_0.0_1x_23	moss_0.0_1x_25	moss_0.0_1x_30	moss_0.0_2x_17	moss_0.0_2x_20	moss_0.0_2x_23	moss_0.0_2x_25	moss_0.0_2x_30	moss_0.0_4x_17	moss_0.0_4x_20	moss_0.0_4x_23	moss_0.0_4x_25	moss_0.0_4x_30	moss_0.0_8x_17	moss_0.0_8x_20	moss_0.0_8x_23	moss_0.0_8x_25	moss_0.0_8x_30
moss_0.06_4x_25	0	0	0	0	0	0	0	0	0	0	0.0	0	0.00019984228910752133	5.3077021264114066e-05	3.1403295808196674e-05	0	0.05026287446411859	0.051363013494727494	0.05253763204051176	0.053659427204301946	0.055274439261862374	0.04878718374966995	0.05121022726377766	0.053070914241510225	0.054018203257354847	0.055939178027577974	0.048537510901231706	0.049832896009704974	0.05212758157369002	0.053292864042662313	0.05601455957604973	0.0758751823279804	0.05166307172951223	0.056628664344234414	0.05697958400486569	0.0577507608614084
moss_0.06_4x_30	8.432144689207721e-05	0	0	0	0	0	0	0	0	0	0	0.0	0.0002098814336418675	2.382417530488734e-05	0	0	0.0507493218352254	0.0512166933541236	0.05256603479192545	0.0536833523656548	0.05533071325213379	0.049188109174285066	0.05128717081345091	0.05299482651039089	0.05392882502101215	0.055633568217577034	0.04906055008367094	0.05003151171228948	0.051844808207941906	0.053050311419426954	0.05579120177928165	0.07831959581887993	0.051911409197815894	0.056527110852064855	0.05674432456071843	0.05737861762587926
moss_0.06_8x_20	0.000493068209435843	0.00017179434645853142	0.00012624800799698743	0.00038801409759647854	0.0001666839590286351	0.0002651512486953056	0.0002142414172081608	0.0002851378641958169	0	9.929280839016119e-05	0.00019984228910752133	0.0002098814336418675	0.0	0.00035282727960705973	0.0003164440090300813	0.0002756663530973924	0.050629502616336364	0.05132255853989032	0.05289421103415559	0.05382287928830409	0.055424438211821636	0.04910236347998609	0.051408322604389545	0.05289289294254673	0.0538256488188914	0.05564022915780309	0.04893868205589336	0.04987437709381959	0.051782339694667945	0.05303586086113521	0.05564639637970881	0.07946808592506815	0.051917816698513364	0.056422892014077575	0.05668014363216156	0.05736948605500658
moss_0.06_8x_23	0.0002648752284813982	0	0	0.0001308290899825204	4.7989747533283555e-05	6.945450775441842e-05	1.531448778302469e-05	5.9239728479987264e-05	0	0	5.3077021264114066e-05	2.382417530488734e-05	0.00035282727960705973	0.0	0.00012997350733268132	8.703117325248311e-05	0.050936350008702225	0.05153768257060143	0.05294663786861409	0.053997881949247595	0.05551986962352118	0.04939779134081457	0.05156782650088265	0.05309534283092088	0.05392999725538439	0.05569174837315827	0.049252626903755314	0.05013569044982369	0.05206102539837376	0.05322353048715134	0.055748655854661155	0.07952417330530004	0.052126792445149506	0.056505003391178255	0.056767729103098685	0.05743186080096552
moss_0.06_8x_25	0.00019519599985984293	0	0	8.284463686136778e-05	4.050163134017293e-05	3.574031952546797e-05	0	1.726829834192145e-05	0	0	3.1403295808196674e-05	0	0.0003164440090300813	0.00012997350733268132	0.0	5.172369290484813e-05	0.051172978467540875	0.05163365315418367	0.05299848946726171	0.05405871497614867	0.05556527507086362	0.049607454889179725	0.0516248474776726	0.05323890628450445	0.05399465781566681	0.05572840155615322	0.04945331287477017	0.05031483945645254	0.05211296998142734	0.053303974808868726	0.05580203431699515	0.07951628688577328	0.05219925425849836	0.056617644008965295	0.05682760324705072	0.0574700858786491
moss_0.06_8x_30	0.00014011719185746951	0	0	1.35259246623054e-05	0	0	0	0	0	0	0	0	0.0002756663530973924	8.703117325248311e-05	5.172369290484813e-05	0.0	0.05117519972521145	0.05167464928080945	0.053125961050774495	0.054078195681772745	0.05561366779502852	0.049682166860848254	0.05183537505363256	0.05327946299999042	0.05417699032777534	0.055738008619756085	0.04958361652292986	0.05043815538612573	0.05223440001387647	0.053406941931233964	0.05582709475161929	0.07969785173887511	0.052248641818817276	0.05666348270476551	0.05689115026388447	0.05752508852606608
moss_0.0_1x_17	0.04538840078584372	0.04672544490797503	0.046840524815029094	0.04645011032050517	0.047783492775951286	0.04884520634215972	0.049067799873017015	0.04979471797436985	0.04907844867613298	0.05014471858920955	0.05026287446411859	0.0507493218352254	0.050629502616336364	0.050936350008702225	0.051172978467540875	0.05117519972521145	0.0	0	0	5.377897517822028e-05	0.0009505509559256664	0	0	0.0005982625273998066	0.0012532785640230193	0.002484074403417802	0.0005926051515957598	0	0.0003196650884879082	0.0011663352347389688	0.00271158259919424	0.03417653467199577	0.0013831990957885454	0.0038527469710792905	0.003949879425543812	0.004098648132689564
moss_0.0_1x_20	0.04640197378733579	0.04728644206202315	0.04804635761686471	0.047543766570055546	0.04869541067330052	0.0495826301251473	0.049563987599688164	0.05070716617729132	0.051398493915524424	0.05111412776975144	0.051363013494727494	0.0512166933541236	0.05132255853989032	0.05153768257060143	0.05163365315418367	0.05167464928080945	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037356222530214755	0	0.0014525471369438714	0.0012359840798988886	0.0011407760231080255
moss_0.0_1x_23	0.047675071225849686	0.048773183309393064	0.04913846312617787	0.0488168156911577	0.05043899732280288	0.05116887977627638	0.05107731324789455	0.05184974296863376	0.05205214474374775	0.05245812477066325	0.05253763204051176	0.05256603479192545	0.05289421103415559	0.05294663786861409	0.05299848946726171	0.053125961050774495	0	0	0.0	0	0	0	0	0	0	0	0.00027262810147243854	0	0	0	0	0.039472657326772076	0	0.0007108109754160319	0.00037684218333822184	0.00012372784172631768
moss_0.0_1x_25	0.0488294097233799	0.05005442262312687	0.050471727010310885	0.049862572152099216	0.05140500352412691	0.05220791515313905	0.052097564462018964	0.05278303708910104	0.053455678128895845	0.05341313536221459	0.053659427204301946	0.0536833523656548	0.05382287928830409	0.053997881949247595	0.05405871497614867	0.054078195681772745	5.377897517822028e-05	0	0	0.0	0	0	0	0	0	0	0.0008210469800634668	0	0	0	0	0.04076550619787245	0	0.0007395074857766692	0.00031587482362183117	0
moss_0.0_1x_30	0.050597215259014394	0.051186705745135064	0.051645019955522176	0.051165388916582066	0.053565651830288497	0.05401783222042067	0.05370039385383696	0.054428026606235136	0.055416841667293326	0.05528821183916832	0.055274439261862374	0.05533071325213379	0.055424438211821636	0.05551986962352118	0.05556527507086362	0.05561366779502852	0.0009505509559256664	0	0	0	0.0	0.0008775653194349475	0	0	0	0	0.0017996956432916322	0	0	0	0	0.04240281593382389	0	0.0008157052926098807	0.0002524235889016513	0
moss_0.0_2x_17	0.04491123853386281	0.04562230587771432	0.046060925798319	0.0457902874723789	0.04648503781554669	0.04752019605020352	0.047574577176450195	0.048363810622671255	0.04791225916645836	0.04858636099736546	0.04878718374966995	0.049188109174285066	0.04910236347998609	0.04939779134081457	0.049607454889179725	0.049682166860848254	0	0	0	0	0.0008775653194349475	0.0	0	0	0	0.0009490554355892078	0	0	0	0	0.0011916012629255013	0.026693453155638425	0	0.0017985700998131016	0.0019883741648965003	0.0024054545900825675
moss_0.0_2x_20	0.046727862732991676	0.04725232659395695	0.04760054860919316	0.04734514199653117	0.04924977206066283	0.05006439187924949	0.04953321399662891	0.05052809102176525	0.05092287794448025	0.050869037605986045	0.05121022726377766	0.05128717081345091	0.051408322604389545	0.05156782650088265	0.0516248474776726	0.05183537505363256	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.030357940219471358	0	0.00018848802823523414	0.0001530698458592772	0.0002641789022623797
moss_0.0_2x_23	0.04831873372766127	0.049481968879233396	0.049668292457549224	0.048971771000157927	0.05108169886635072	0.05161739416792521	0.051202170199956654	0.05182160672601266	0.05301061204885271	0.05295747586900823	0.053070914241510225	0.05299482651039089	0.05289289294254673	0.05309534283092088	0.05323890628450445	0.05327946299999042	0.0005982625273998066	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.03389380223974314	0	0	0	0
moss_0.0_2x_25	0.04967182959198502	0.05035652720256978	0.050616613078678374	0.0499271090821225	0.05230142269985194	0.05246406363108591	0.05214190374837391	0.05304392304861594	0.054134854063694116	0.05396202840229092	0.054018203257354847	0.05392882502101215	0.0538256488188914	0.05392999725538439	0.05399465781566681	0.05417699032777534	0.0012532785640230193	0	0	0	0	0	0	0	0.0	0	0.00046621201662155887	0	0	0	0	0.03547596200867198	0	1.1853035705278181e-05	0	0
moss_0.0_2x_30	0.05155345486346341	0.05216919186023705	0.0522577076517422	0.051390628152195084	0.05405863835633207	0.054297895581324696	0.05392739450117334	0.0547275120409515	0.0561368793732786	0.055841378449259516	0.055939178027577974	0.055633568217577034	0.05564022915780309	0.05569174837315827	0.05572840155615322	0.055738008619756085	0.002484074403417802	0	0	0	0	0.0009490554355892078	0	0	0	0.0	0.0015424754423927212	0	0	0	0	0.038127514885245906	0	0.0003312318951749216	0	0
moss_0.0_4x_17	0.04452971527964478	0.045638415477523675	0.046671715248517764	0.046115577606167024	0.04621184692127045	0.04750973481196841	0.047668956316279654	0.04825169468164159	0.0469645839752596	0.047968441116974625	0.048537510901231706	0.04906055008367094	0.04893868205589336	0.049252626903755314	0.04945331287477017	0.04958361652292986	0.0005926051515957598	0	0.00027262810147243854	0.0008210469800634668	0.0017996956432916322	0	0	0	0.00046621201662155887	0.0015424754423927212	0.0	0	0	0	0.001671169433729247	0.01987934861576557	0	0.0017566681400694728	0.0021671248910422047	0.0027095899897796594
moss_0.0_4x_20	0.045289310378648695	0.04634234461813502	0.04706536302938069	0.04629330826027034	0.0478953280625537	0.04862288735630871	0.04818244066892252	0.049232765179136995	0.04898887152097431	0.04958488626833879	0.049832896009704974	0.05003151171228948	0.04987437709381959	0.05013569044982369	0.05031483945645254	0.05043815538612573	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.023561468885902936	0	0	0	0.00014099987083515675
moss_0.0_4x_23	0.047847637016686484	0.04797722713184083	0.048253675568825316	0.04766267790828338	0.05010952516790612	0.0504409860698628	0.05027614062730623	0.05083834368912865	0.05222183889202103	0.052125206472566465	0.05212758157369002	0.051844808207941906	0.051782339694667945	0.05206102539837376	0.05211296998142734	0.05223440001387647	0.0003196650884879082	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.028304496763382425	0	0	0	0
