sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
rotifer_0.001_4x_HiSeq2500L150R.hist	88808129	3557627	684493	254981	141404	88106	67169	33000	28062	32102	31440	15504	5951	9826	12190	13594	7835	3263	1531	3767	7115	5913	2561	748	723	2312	5503	1966	654	326	95	27	1631	4893	1631	100	28	14	1	0	2523	1134	600	224	36	11	3	0	0	4089	99814233
rotifer_0.01_4x_HiSeq2500L150R.hist	92576475	2557232	471865	176213	97391	60564	47731	23450	16686	19087	22264	14939	5734	3192	3960	5729	9087	7793	1238	673	435	457	2172	4222	3762	2089	470	150	49	23	1272	2544	1924	221	69	3	0	0	1220	1433	476	194	102	37	5	0	0	0	0	2538	100378980
rotifer_0.01_1x_20.hist	93152265	2848193	609410	213205	112622	72004	34498	30816	46547	38246	18517	9131	3504	1936	1581	2287	3627	4841	10192	6428	4169	1301	563	163	8	3	0	0	0	0	8418	2506	1001	114	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5884	103119294
rotifer_0.01_4x_20.hist	91681151	2295016	453666	169272	92248	56877	32524	29052	35595	18152	8788	5962	8289	13686	8896	2829	1807	2412	5077	4721	3061	955	413	595	1272	4071	1620	520	172	85	1308	2616	1160	132	41	1	0	0	2376	730	242	98	51	18	2	0	0	0	0	2897	99792451
rotifer_0.01_2x_novaseq_profR.hist	90498034	1959763	399295	151641	82145	50456	34761	17077	21891	25042	20145	9934	3813	3520	4367	6319	10022	6672	1060	576	372	197	935	1818	3884	4403	993	318	105	51	1167	2334	932	106	32	1	0	2206	440	23	6	1	0	0	0	481	1890	629	208	124	99521137
rotifer_0.001_1x_MiSeqv3L250R.hist	86629147	2986858	597711	226850	124931	77525	70606	34689	13657	15623	18223	20591	28627	17975	9300	2958	1704	709	1392	3427	6472	10595	5878	1719	100	54	11	2	0	0	4032	8063	3224	370	117	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8126	98251633
rotifer_0.01_4x_23.hist	90707765	2116349	415810	159931	81908	50524	46743	41754	21311	12803	14933	16873	7152	3952	3940	5701	9042	3766	598	1218	2300	3765	1630	476	352	1125	2678	3012	1003	500	147	42	16	0	3601	720	206	111	21	0	3	1313	695	259	42	13	4	0	0	1684	99568961
rotifer_0.0_2x_HiSeq2500L150R.hist	87505498	3520206	678694	257431	131703	83249	82778	73944	38377	19571	9475	8739	12149	20060	24853	7906	4557	1897	432	1064	2009	3289	15624	4570	267	147	32	9	2	0	7831	2874	1148	131	40	1	0	0	0	3191	2387	977	517	193	31	9	3	0	0	4068	99056607
rotifer_0.0_2x_25.hist	85436295	3293250	597143	243374	115884	72536	62752	56055	51144	26082	12627	7238	10062	16613	20612	8540	4922	2049	1409	3468	6551	2046	5001	9723	1743	967	217	69	22	10	1	0	8457	2007	637	38	10	4	0	0	0	0	3410	1278	212	69	30	9	2	3544	99633037
rotifer_0.0_4x_novaseq_profR.hist	85524169	3203670	595129	240076	114931	72657	77280	52786	24310	27810	32438	16752	6430	10521	13053	10741	6191	2578	3085	7592	8437	2635	1141	553	1181	3780	4523	1455	484	241	612	1224	3843	442	139	2504	718	391	77	3	0	2418	1282	480	79	25	10	2	0	3028	99840370
rotifer_0.001_4x_23.hist	86281240	3282474	572587	234255	113045	70604	65920	58884	32725	17040	19875	22458	17309	9567	4949	7161	11359	7342	1167	2262	4273	6953	3012	880	544	1741	4144	2660	885	441	566	1132	4253	489	154	8	1	0	3689	645	214	86	45	15	1	1962	878	291	96	1309	99452235
rotifer_0.001_2x_novaseq_profR.hist	85981174	3113539	605303	230184	124626	76520	43384	38753	58240	29701	14379	7090	8582	14170	17580	8616	4966	2068	2255	5552	10486	3649	1580	461	201	644	1533	4088	4485	2241	663	196	77	7	1	0	0	3014	4815	266	87	35	17	5	0	0	0	0	0	3864	99693989
rotifer_0.001_1x_novaseq_profR.hist	84858286	2821556	515092	212213	110778	66285	29483	21007	31731	36300	42342	24511	9409	5200	2690	1474	2338	3120	6567	14636	9493	2965	1284	374	21	10	1	0	30	424	9927	2948	1178	134	1857	115	32	16	2	0	0	0	0	0	0	0	0	0	0	8254	96896404
rotifer_0.001_2x_20.hist	87171734	3506779	680132	252053	140583	87882	72892	35812	50784	25899	12538	7305	10156	16769	20805	11073	6382	2658	421	718	1355	2218	10537	10014	588	325	72	22	6	2	1596	3192	4414	508	160	9	1	0	4875	269	88	35	17	5	0	0	0	0	0	5825	99940018
rotifer_0.001_4x_MiSeqv3L250R.hist	86405109	3150394	570106	232454	110857	69729	66213	59146	36326	18525	19791	22363	10498	11158	13843	4403	3287	4387	9235	7236	4692	1465	634	657	1404	4492	4973	1600	532	265	77	22	2509	3046	968	59	16	7	3080	910	302	122	64	23	2	0	1484	1180	931	557	97684225
rotifer_0.0_2x_novaseq_profR.hist	85740039	3226065	600658	244570	116054	72233	54218	48432	60668	30939	14979	7386	9616	15877	19698	6266	3611	1512	3183	7836	10084	3150	1364	398	567	1816	4321	4865	1620	809	238	69	26	2	4542	282	80	42	2794	1426	474	193	101	37	5	0	0	0	0	5017	100001360
rotifer_0.0_2x_20.hist	86618178	3711971	712569	262365	147524	92633	98691	48487	19090	19797	23092	26093	18934	10466	5414	3841	6092	8132	12603	6860	4449	1389	601	255	545	1745	4154	6927	2308	1153	340	100	39	3	0	0	0	5718	3146	173	56	22	10	3	0	0	0	0	0	5479	99977494
rotifer_0.0_8x_20.hist	85691559	3188511	622801	242537	121078	76049	69546	34168	49819	25406	16588	18744	15351	8485	10017	12288	7082	2950	3487	8584	5567	1738	1552	3018	4306	2391	539	172	2284	3724	1102	326	129	13	2913	1915	549	298	58	1834	610	249	131	1781	344	113	50	15	4	2367	97551576
rotifer_0.01_2x_MiSeqv3L250R.hist	90384989	1916448	373660	152629	73252	45137	46376	22784	16625	19019	22184	17807	6835	3777	1953	2352	3730	4978	7774	4232	2744	856	370	107	123	395	940	2506	4022	2010	594	175	69	6	1	0	0	621	3439	190	62	24	12	3	0	0	0	0	0	2897	97788879
rotifer_0.0_4x_HiSeq2500L150R.hist	88267697	3670292	681243	261052	140134	85560	50037	44696	54350	27717	13419	14947	20780	16895	8741	3238	5135	6855	10576	5757	3733	1165	1109	2156	4607	6074	1370	440	145	71	20	5	7770	996	315	18	4	1	0	0	3642	1491	790	295	48	15	5	0	0	3153	99508597
rotifer_0.01_2x_HiSeq2500L150R.hist	92845970	2302516	504210	179474	98425	62323	51631	46121	36793	18763	9083	4478	3517	5806	7203	10423	11314	4713	748	406	262	263	1251	2431	5194	4481	1010	324	107	52	14	3	0	0	2661	2810	807	439	86	3	0	0	0	0	0	0	290	2221	739	442	100562280
rotifer_0.001_2x_HiSeq2500L150R.hist	88166006	3673535	732701	265414	149634	94481	86196	76997	32144	16392	11635	13146	18276	20155	10428	3317	3746	5001	10527	8158	5291	1652	715	208	294	941	2239	5971	4032	2015	596	176	69	7	1	794	4364	2379	474	25	7	2	0	0	0	0	0	0	0	6552	100011958
rotifer_0.01_8x_HiSeq2500L150R.hist	90629875	2275755	418591	166313	79610	50217	54967	34806	17118	19582	17791	8773	5805	9584	8462	2691	3746	2579	5428	3166	2052	640	1724	3352	1055	585	520	1387	2229	1113	328	96	260	780	3008	187	52	27	4	0	368	1236	655	244	39	12	4	0	920	894	97950729
rotifer_0.001_1x_23.hist	84821527	2827259	532446	203458	115153	72563	91239	81502	35779	18246	8833	4826	6709	11078	13744	19887	12279	5115	812	441	285	383	1818	3534	7551	4194	946	303	100	49	13	3	295	884	9977	622	178	96	18	0	0	0	0	0	0	0	0	0	0	6649	96801549
rotifer_0.001_8x_HiSeq2500L150R.hist	86373959	3257128	595382	238992	115033	72597	79704	39159	31133	35615	21039	10375	13339	17020	8806	3379	5359	7153	7494	4079	2645	1586	7533	2203	177	566	1347	3593	2628	1313	388	114	313	940	4900	305	86	46	8	184	2599	1064	563	405	66	21	8	1	0	2968	96574711
rotifer_0.01_4x_25.hist	90517549	2160679	412159	161836	78508	49447	57152	32466	14946	17098	19943	9834	4848	8004	6185	3924	6224	6332	1006	546	878	1436	6823	2495	145	79	17	4	1854	3857	1142	338	134	14	3	0	426	2602	519	27	8	2	0	0	0	415	1567	521	172	362	99931336
rotifer_0.01_8x_MiSeqv3L250R.hist	90431799	2089099	416332	160169	79976	50121	41152	32639	27051	13795	12395	14005	8821	4971	6167	7542	4346	1810	1975	4861	3575	1116	656	1276	2535	1407	1857	597	198	1693	716	212	156	469	2933	182	51	27	4	1065	354	144	75	340	710	235	104	33	10	1290	98023911
rotifer_0.0_1x_20.hist	87622096	3598932	797763	283035	154265	98009	70612	63076	66427	33877	16401	8087	3836	6332	7856	11367	18030	8413	12173	6626	4297	1341	580	168	8	3	0	0	366	5126	11114	3301	1319	151	47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9115	101207746
rotifer_0.01_2x_20.hist	91788232	2254909	473697	171805	96449	60510	69852	36710	14453	9112	10628	12008	16694	9231	4776	3079	4884	6519	2667	1451	940	540	2565	4987	292	161	35	10	4029	2974	880	260	103	10	2	0	0	0	3699	418	138	55	28	9	0	0	0	0	0	2844	100284712
rotifer_0.0_2x_23.hist	85683834	3245420	583521	240040	118025	71645	42436	37906	57257	45071	21821	10760	4482	7400	9181	13285	16387	6826	1085	589	486	795	3776	7342	6388	3548	800	256	84	41	11	2	4767	3482	1106	68	18	9	0	1358	1223	500	264	98	15	4	807	3018	1005	602	99195458
rotifer_0.0_1x_25.hist	86039867	3410483	739269	263589	144998	92290	64195	57343	73169	37315	18066	8908	3419	4883	6058	8766	13904	18560	4253	2314	1500	1068	5075	9868	579	320	71	22	6	2	0	0	836	2507	11388	710	203	109	20	0	0	0	0	0	0	0	0	0	0	7028	99896273
rotifer_0.01_2x_25.hist	90629287	2107561	437087	160912	89215	55581	43727	21482	22126	25311	12254	6042	7962	13147	9551	3038	1750	982	2066	5086	6911	2158	934	272	15	48	113	301	5604	2801	828	245	97	10	2	0	0	0	3437	189	62	24	12	3	0	0	0	0	0	2697	99927475
rotifer_0.0_8x_23.hist	85528412	3182440	616546	240951	119985	75299	55292	49390	42484	21665	22514	22620	8683	10205	12660	8971	5171	3400	7157	6796	4407	1376	2689	5229	1682	933	1875	3014	1003	500	1155	2309	2234	256	80	4	1652	2160	431	22	6	1	2480	1171	194	63	27	8	1	2443	98819806
rotifer_0.01_8x_20.hist	90396056	2213700	416478	163104	80140	50348	52561	25823	21826	24968	12087	7312	10166	9236	4778	3323	5271	6297	1000	2267	4281	1441	623	1067	2279	2970	669	214	219	2833	838	248	98	10	2865	203	57	30	5	536	1235	505	267	99	15	4	0	1088	388	232	98649816
rotifer_0.0_4x_20.hist	86801780	3543215	660390	253514	135704	82695	62028	55408	37838	19739	23024	26016	15376	8498	5272	7629	12100	11536	1834	997	1329	2175	10331	3022	590	1889	3727	1199	398	198	1226	2452	3815	439	138	7	1	0	1376	3062	1019	416	220	81	12	3	0	0	0	4336	99169041
rotifer_0.0_4x_23.hist	85618677	3300280	608458	244517	116952	73997	75578	62584	24641	20761	24216	27364	11096	6133	7608	11008	8847	3685	3247	7991	6072	1896	820	1203	2570	8225	1856	596	197	97	28	7	6832	1537	488	29	7	3	0	881	2761	1130	599	223	36	11	3	0	648	3114	99172128
rotifer_0.001_2x_25.hist	86118589	3319550	611492	232841	128533	79870	56541	27778	28987	33160	30936	15256	5856	7544	9360	13543	9479	3948	1028	2530	4778	7822	4629	1353	399	1277	3038	4123	1373	685	202	59	22	1	2967	3630	1042	567	112	5	0	0	0	0	690	1444	646	214	70	2446	100177299
