sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
moss_0.001_4x_25.hist	53701680	7760114	1615574	680031	359903	219973	192549	172001	197637	100794	52293	59091	82153	61342	31741	23397	37112	49542	16092	39612	26382	8243	13862	26953	21051	11694	2639	849	25280	12639	3743	1111	1486	4457	22762	1421	407	221	43	1	16541	6778	3596	1347	223	73	31	9	2	23008	101592286
moss_0.001_1x_MiSeqv3L250R.hist	55126850	10611430	1912192	816974	451725	280977	309552	152086	59883	64429	75154	84923	118068	94605	48954	15575	8977	11700	24631	60629	82480	25774	11167	3266	191	105	22	6	1767	24743	67609	20087	8034	925	293	17	3	1	0	0	0	0	0	0	0	0	0	0	0	66150	106015286
moss_0.001_2x_23.hist	52250233	11524719	1947056	832776	461860	287790	276723	135957	89857	102796	119908	135495	54901	30348	20248	29299	46473	62040	43425	23641	15334	4790	11414	22194	47425	26346	5948	2943	20376	10187	3017	895	357	40	11	30081	18397	10033	2005	110	35	13	6	1	0	0	0	0	0	45137	109635840
moss_0.0_8x_HiSeq2500L150R.hist	56059989	22606696	4358565	1656314	932299	585752	506407	248804	198356	226918	182084	89798	75298	124329	64335	42699	67729	71421	11361	18957	35808	58622	38413	11239	3058	9786	23290	62107	20701	10349	3065	909	11173	33519	22708	1418	406	220	34993	8023	2673	1094	580	216	7796	21136	9473	3156	1051	629	100368336
moss_0.0_4x_novaseq_profR.hist	52138028	7816521	1675110	698502	359067	223472	245797	219566	140124	84192	98207	93346	35837	39405	48891	63556	36637	15264	15606	38415	49531	15477	6705	5391	11519	36860	15093	4859	1618	19245	5701	1693	3146	9437	20595	1286	368	200	39	3574	15033	6160	3268	1224	203	66	28	8	1	23336	102324080
moss_0.001_8x_novaseq_profR.hist	54718555	6422085	1476078	590783	304310	191809	207927	154541	160020	81609	89523	78251	30041	49255	61112	25663	29888	39898	32192	17526	19594	32077	13899	6524	13941	25259	5702	1835	7354	20008	5927	1760	3358	10073	9247	576	164	2163	15839	878	291	118	4250	10697	1781	592	264	87	28	14838	99461786
moss_0.0_4x_25.hist	51967415	8081306	1688568	710126	374789	229316	203087	181414	208921	106549	53249	60170	83654	67936	35154	19369	30723	41014	49253	26814	17392	5434	21095	41017	12366	6869	1729	4610	27344	13671	9352	2777	1110	127	12127	15066	4330	2361	471	25	583	13105	6955	2607	433	143	63	20	5	21742	101793355
moss_0.0_8x_23.hist	53493135	6919697	1583989	636615	326427	205985	248678	146377	170026	86712	99504	72961	40774	67324	34837	28736	45581	45571	12264	30187	35220	11005	13584	26413	17383	9656	3521	9389	21639	10818	3204	951	11140	11652	3706	230	65	12064	8381	464	153	62	9389	8162	1359	452	201	66	21	16725	96645867
moss_0.01_4x_23.hist	66346474	6391305	1299432	540107	274782	169294	154267	137804	140161	71481	40480	45742	63594	45316	23449	22540	35753	37376	5945	5287	9986	16347	29140	8525	724	2316	5513	14700	5524	2761	817	241	19641	5198	1653	102	28	14	1	7196	8482	3475	1843	690	114	37	15	4	0	15766	101110939
moss_0.001_1x_HiSeq2500L150R.hist	65477842	12221428	2846216	1030557	540159	346390	247027	220665	333318	257690	124766	61531	23622	31529	39119	56607	89789	119866	19068	10380	6732	2102	910	834	1783	5704	13575	36201	88576	44287	13121	3897	1558	178	55	2	0	0	0	0	0	0	0	0	0	0	0	0	0	89589	122437035
moss_0.01_8x_25.hist	66462273	5429452	1229695	486253	248005	155922	150091	134073	100285	64852	75647	37306	48261	48163	24921	22712	36025	27585	5601	13786	26039	8885	3849	7278	15552	8639	1949	2224	13182	6590	1951	578	3375	10125	5471	340	97	51	12062	1043	346	141	73	7874	1688	561	250	82	26	9604	100293941
moss_0.001_2x_HiSeq2500L150R.hist	62099611	10181164	2309878	860203	491241	310990	384233	342468	134845	68770	45776	51726	71914	118741	63985	71169	41026	17093	2718	3323	6276	10274	48804	94896	19376	10763	2429	781	259	128	37	10	3	0	78987	4935	1418	772	153	7	1	0	0	0	0	0	0	0	0	50756	106402433
moss_0.01_2x_HiSeq2500L150R.hist	69044062	10452394	1872991	728875	409887	257399	332936	163575	64407	51589	60176	67998	77903	43064	22283	32244	51145	43185	6869	3739	2861	4684	22250	43262	18974	10540	2379	765	254	126	36	9	2	0	45373	4660	1338	729	144	7	1	0	0	0	0	0	0	0	0	33583	108237444
moss_0.001_4x_novaseq_profR.hist	53681239	7618025	1625668	678283	349303	216633	225638	201559	162351	82798	66903	75600	83223	46005	23805	24772	39293	52454	35459	19304	12521	9103	43241	21144	3799	12157	2941	7842	24394	12196	3612	1072	427	48	24297	7541	2167	1181	235	12	831	13930	7393	2771	460	152	67	21	6	20513	102263856
