sample	moss_0.001_1x_20	moss_0.001_1x_23	moss_0.001_1x_25	moss_0.001_1x_HiSeq2500L150R	moss_0.001_1x_MiSeqv3L250R	moss_0.001_1x_novaseq_profR	moss_0.001_2x_20	moss_0.001_2x_23	moss_0.001_2x_25	moss_0.001_2x_HiSeq2500L150R	moss_0.001_2x_MiSeqv3L250R	moss_0.001_2x_novaseq_profR	moss_0.001_4x_20	moss_0.001_4x_23	moss_0.001_4x_25	moss_0.001_4x_HiSeq2500L150R	moss_0.001_4x_MiSeqv3L250R	moss_0.001_4x_novaseq_profR	moss_0.001_8x_20	moss_0.001_8x_23	moss_0.001_8x_25	moss_0.001_8x_HiSeq2500L150R	moss_0.001_8x_MiSeqv3L250R	moss_0.001_8x_novaseq_profR	moss_0.01_1x_20	moss_0.01_1x_23	moss_0.01_1x_25	moss_0.01_1x_HiSeq2500L150R	moss_0.01_1x_MiSeqv3L250R	moss_0.01_1x_novaseq_profR	moss_0.01_2x_20	moss_0.01_2x_23	moss_0.01_2x_25	moss_0.01_2x_HiSeq2500L150R	moss_0.01_2x_MiSeqv3L250R	moss_0.01_2x_novaseq_profR	moss_0.01_4x_20	moss_0.01_4x_23	moss_0.01_4x_25	moss_0.01_4x_HiSeq2500L150R	moss_0.01_4x_MiSeqv3L250R	moss_0.01_4x_novaseq_profR	moss_0.01_8x_20	moss_0.01_8x_23	moss_0.01_8x_25	moss_0.01_8x_HiSeq2500L150R	moss_0.01_8x_MiSeqv3L250R	moss_0.01_8x_novaseq_profR	moss_0.0_1x_20	moss_0.0_1x_23	moss_0.0_1x_25	moss_0.0_1x_HiSeq2500L150R	moss_0.0_1x_MiSeqv3L250R	moss_0.0_1x_novaseq_profR	moss_0.0_2x_20	moss_0.0_2x_23	moss_0.0_2x_25	moss_0.0_2x_HiSeq2500L150R	moss_0.0_2x_MiSeqv3L250R	moss_0.0_2x_novaseq_profR	moss_0.0_4x_20	moss_0.0_4x_23	moss_0.0_4x_25	moss_0.0_4x_HiSeq2500L150R	moss_0.0_4x_MiSeqv3L250R	moss_0.0_4x_novaseq_profR	moss_0.0_8x_20	moss_0.0_8x_23	moss_0.0_8x_25	moss_0.0_8x_HiSeq2500L150R	moss_0.0_8x_MiSeqv3L250R	moss_0.0_8x_novaseq_profR
moss_0.001_2x_MiSeqv3L250R	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.00013066355128987794	6.911733301595557e-05	0	0	5.247651197026748e-05	0.007926694398132206	0.00808564015339086	0.008258372692598104	0.00800820421037518	0.008142517701854923	0.008359618211285169	0.00900146607700869	0.009378461242943836	0.009532806181170472	0.00885380251604262	0.009212867359062904	0.009476718376815962	0.009501711899986276	0.009652247526919844	0.00994118847849701	0.00981283911988795	0.009750899960289772	0.01007709071753371	0.010939982146051186	0.010975975546196781	0.011025004329881183	0.008090324756309664	0.010664838879992034	0.011026424308115956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013086410459900444	0.0012474577918698548	0	0.0007508638678151991	0.0012192798518060322
moss_0.001_2x_novaseq_profR	0	0	0	0.0006691191840233479	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	5.327783763631189e-05	0	0	0	0	0.009369584577905488	0.009152887743093974	0.009109678047784842	0.009660524045086327	0.009337807835495648	0.009089489140290175	0.009910455462072476	0.010088142515448095	0.010016975866602662	0.010161055892381143	0.010152901821955385	0.009975696688743763	0.010622330478500808	0.010278213496892619	0.010412607663730311	0.01130544219171703	0.010805683867224691	0.010462324934173095	0.011724334645177414	0.011410871665759381	0.011306222567552537	0.009032695833275928	0.011332205010004204	0.011288322665002348	0.00022833342827477399	0	0	0.0015800722276796408	0.00036423360272352934	0	0	0	0	0.00033856447254831945	0	0	0	0	0	0.0006078511502983774	0	0	0	0.0012321139727600183	0.0009382871469105769	0	0.0009998092752557808	0.0008275767993474181
moss_0.001_4x_20	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.007486187092721197	0.007659275869511983	0.007610882451781542	0.007186479908583787	0.007927172617934963	0.0081140335444434	0.007837529585676406	0.008482202244751935	0.008773148390214813	0.0073787058089626045	0.008522492524890457	0.008819457363603012	0.00805649867008762	0.008782175323652441	0.009151072154263695	0.007997796535840873	0.008839228927836174	0.009365202716955623	0.009603228941011621	0.010059155950205012	0.01023373926955451	0.006081568644754176	0.009616571448601396	0.01030449581223647	0	0	0	0.00011935393229922653	0	7.97588426640905e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008999810300234223	0.0011433454143389143	0	0.00013628145159483296	0.001218684586200891
moss_0.001_4x_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.008039625462085809	0.007775199067007077	0.0077623029063265125	0.007945063251223905	0.008130253394924014	0.007860170325889593	0.008473561698558507	0.008776296414932161	0.008866582992040795	0.008499773323234927	0.008961657541838197	0.008767278826597003	0.009097744575201294	0.009160578496883343	0.009385149879499788	0.009532772329851946	0.009608604705787394	0.009439397688845608	0.009887118529551042	0.010005790765645117	0.010076123179662	0.006611553052105479	0.009653071525627333	0.010123437382987932	0	0	0	0.00039564242824929874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004178181795821967	0.0004708023384946136	0	0	0.000487705961339735
moss_0.001_4x_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.008650496186056955	0.008298905857323624	0.00825784665157081	0.008819355933216255	0.008772793482355712	0.008328114421185862	0.009215294148779751	0.009434429036071723	0.009330986481474679	0.009467609858641923	0.009701796188204326	0.009254291321922348	0.00996323170674518	0.00981662494628932	0.009893466153224284	0.010472438132481554	0.010484082402363204	0.009962076907805928	0.010469743664500597	0.010504562254467276	0.010498158854678863	0.007402156506177704	0.01021447913734741	0.010498536326592811	0	0	0	0.0010786607589968744	7.831595700136251e-05	0	0	0	0	0	0	0	0	0	0	0.00013720901283253983	0	0	0	0.0006092784126917605	0.0005097566786121943	0	0.00013056389263710333	0.0005019371600704092
moss_0.001_4x_HiSeq2500L150R	0	0	0	0	0	2.6114328839921264e-05	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0007563364916716164	0.0011027632721840597	0	1.0887356240441015e-05	0.0012239995850701346	0.007937501219292153	0.008136247395347351	0.00846708051313616	0.007460977609345609	0.008171704703393123	0.008872460771366941	0.007895360668031759	0.008870781322771637	0.00922127835118014	0.007254781241164188	0.008713767793708471	0.009350590002035752	0.00766248122021751	0.008735620212256157	0.009411525144229493	0.007097938252402014	0.008499331671328991	0.009764259885151616	0.009975601258268574	0.010570432728335799	0.010844070515446336	0.0062288751952128685	0.010059935116056407	0.010985488141374344	0	0.0006852824691343518	0.0010032633557754966	0.0004863879154703987	0.0006611340432094437	0.001328864389972928	0	0.0001618711746301793	0.0007777630847163319	0	0	0.0009685887605254129	0	0	0.0003766102956290762	0	0	0.0008075682889296942	0	0.0019348562104435363	0.0023572575480719227	0	0.0010776781545743797	0.002491267219230653
moss_0.001_4x_MiSeqv3L250R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.00774817403031125	0.0076974432428282835	0.0075325552069549495	0.007436481026978803	0.007765695220057545	0.007997574892515735	0.00823717375114974	0.008685552453146284	0.008669137399558102	0.007839333282440353	0.0085226598790904	0.008874822748862532	0.008515933227140948	0.00901568018248844	0.009331719681764272	0.008536850878046787	0.008925688443656266	0.009430259062866098	0.009724749932065069	0.010051792049390329	0.010184812170952129	0.006363114540033021	0.009510494110651191	0.010243424632011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005424824031103892	0.000709847119066187	0	0	0.0007967921113041232
moss_0.001_4x_novaseq_profR	0	0	0	0.0004394044977988898	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.009094403712288424	0.008668156523878201	0.008652300300452942	0.009344825317099237	0.009196991060060666	0.008723600161717693	0.009614116307945286	0.009817203076046499	0.00974832535332959	0.009936328308355447	0.009982641377962786	0.009593161052662391	0.010461133167669279	0.010186721416165834	0.01025454409441573	0.011146615917568936	0.01080573517940564	0.010279217524358786	0.010935991434295134	0.010848531494196845	0.01085571642282357	0.007831117083776595	0.010627214897682258	0.010842970284944409	0.00011730816997224114	0	0	0.0013944994183033854	0.0004155566738248684	0	0	0	0	0.00011454950695377608	0	0	0	0	0	0.0005095696026961027	0	0	0	0.0008100391025683829	0.0006820296773648593	0	0.00039008733215672997	0.0006300588291988651
moss_0.001_8x_20	0	0	0	0.0002533641597078917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.008753768164227238	0.008622517499555338	0.008598984692151257	0.009050945813870781	0.008943590269042012	0.008658947367617853	0.00788050730766554	0.008182553440540197	0.00829941358741848	0.0078761905606346	0.008265395862361746	0.008357797026022906	0.007340942275363638	0.007486441334527805	0.007844021205297258	0.007743641467230944	0.00774387290387657	0.008051811691250799	0.009648526913391575	0.009445494116107733	0.00936866118204771	0.006769053690381388	0.009562430085610862	0.00932180956157369	0	0	0	0.0013175451958225004	0.00030954188006326877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
moss_0.001_8x_23	0.0013920330557828375	0.0008336029953963653	0.0006796876728588641	0.0026606779446408657	0.0014533541497123714	0.0006966530285964501	0.00018605789148529173	6.747448993649208e-06	4.715651291975487e-05	0.0010087210587862439	0.00013066355128987794	5.327783763631189e-05	0	0	0	0.0007563364916716164	0	0	0	0.0	0.0009251026351514424	0	0.0010839477844220013	0.0008394734649240787	0.011429125133746498	0.011103359658043543	0.011139449786108147	0.011712240252001238	0.011418334345045689	0.011129666089406354	0.01153369137855298	0.011595581465424054	0.011585125860288814	0.011719061806227837	0.01176642035249531	0.01156800675976366	0.011714611232132244	0.011532901648492189	0.011684914163735738	0.012442958493557366	0.012003088182120258	0.011743126935324755	0.013012201834117554	0.012754601217215389	0.012671918419477346	0.01033034596270177	0.01268256666952916	0.012622179541635914	0.002278332515959214	0.0019152085018044884	0.0018078643744541267	0.0036858649683855216	0.002407936521330978	0.001838606916674701	0.0012478958160809794	0.0010611040828382157	0.0010726011248274325	0.001804478086514183	0.0010855314620430434	0.0011705631758273105	0.0004816485680597671	0.00017889373336454906	0.00047866959082243365	0.0015326406900230127	0.00034006365257865934	0.0006300688653005926	0	0.0023722046867498126	0.0021111023866172696	0	0.0022443990877287767	0.0020261793052773758
