rotifer_0.0_4x_20.hist	86959014	3446916	653804	251989	131354	80821	67305	60122	31459	22011	25675	29011	11714	6474	4794	6936	11001	14685	2335	1270	823	989	4697	9132	3606	2002	451	144	47	22	2434	4868	2140	245	77	3	0	0	2131	2472	823	336	361	708	117	38	16	4	0	3519
rotifer_0.001_8x_25.hist	85926443	2983823	589115	228130	114701	71922	51943	46399	39118	21252	24789	16382	8771	14482	10593	4036	6402	8545	4714	2565	3326	5444	3113	910	1223	3915	2067	664	220	1826	3344	992	396	44	256	3090	887	483	95	4	1257	1117	592	221	949	315	140	45	14	2125
rotifer_0.01_2x_20.hist	91788300	2319146	491551	176648	98447	62115	58953	52661	24465	12476	6039	5215	7249	11969	14850	7757	4470	1861	295	491	927	1517	7206	2107	122	67	14	3	391	5485	1747	518	206	22	6	0	0	0	805	2241	746	304	160	59	8	1	0	0	0	2801
rotifer_0.001_8x_23.hist	85989025	2957724	592365	228665	115148	72169	52050	46495	37295	24985	24806	12232	14000	12545	6490	5448	8642	7228	2085	5131	6613	2065	1877	3649	2761	1533	563	1500	3266	1632	482	142	2221	1640	521	31	8	2504	1625	89	28	10	69	2373	394	130	57	18	5	2051
rotifer_0.001_4x_20.hist	87424068	3355220	639031	244194	130754	79696	58452	52213	44768	22830	17209	19445	8343	13774	15492	4928	3525	4705	9220	5019	3254	1016	1567	3046	6508	4228	953	306	101	49	906	1811	4821	555	175	9	1	0	0	2737	1789	732	387	144	23	6	1	0	0	3953
rotifer_0.0_8x_25.hist	85432144	3086577	613780	237326	119456	74891	57325	43706	40975	21782	25407	19828	7611	11917	14394	4579	5027	6710	7560	4115	2668	1864	6452	1887	827	2647	3029	974	323	2348	2742	813	324	36	2744	673	192	104	3228	178	58	22	108	2228	370	122	53	16	4	2594
rotifer_0.0_4x_23.hist	85779614	3335264	607153	243502	117414	74107	79491	39054	32206	36843	21581	10642	14795	15488	8013	4375	6939	9262	6851	3729	2418	754	2710	5269	4603	2556	576	184	206	2891	2324	689	274	30	2094	3411	979	533	105	4	0	0	304	2781	462	153	67	21	6	2502
rotifer_0.01_1x_20.hist	92609967	2232077	473900	172639	96331	60233	69794	34290	13500	6884	7025	7937	11034	18219	16017	5095	2936	1222	193	144	272	444	2112	4105	6132	3406	768	246	81	39	10	2	0	0	0	3910	1123	611	121	5	0	0	0	0	0	0	0	0	0	5234
rotifer_0.001_2x_23.hist	86159980	3013212	543590	224882	112671	67676	38495	34386	51940	43846	21228	10468	4018	5848	7256	10498	16652	8653	1375	747	484	655	3114	6054	6983	3878	874	280	92	45	12	2	0	0	10120	631	180	97	18	0	0	0	0	0	0	0	3251	1800	599	358
rotifer_0.0_8x_20.hist	85647752	3308581	617548	245336	119300	75160	77914	38279	30557	34957	22815	12223	16993	13281	6871	9943	7119	2965	3632	8939	5797	1810	1560	3032	4225	2346	528	169	2200	3643	1078	319	227	680	3454	214	60	1970	393	20	5	783	2130	798	132	43	18	5	0	2710
