"","species","sim_coverage","error_prof","dist_from_ref","coverage","error_rate","genome_length","read_length","version","variation"
"127","moss","8x","20.dat","0.0","8.04247328207641","0.00948246125958552","103988016","150","gen-0.0","err6"
"128","moss","8x","20.dat","0.001","8.04229582142063","0.00910370660296322","103988016","150","gen-0.0","err6"
"129","moss","8x","20.dat","0.01","8.0420383580102","0.00787605164881922","103988016","150","gen-0.0","err6"
"130","moss","8x","23.dat","0.0","8.04268565302513","0.00467781086839414","103988015","150","gen-0.0","err6"
"131","moss","8x","23.dat","0.001","8.04222454623921","0.00444715947327401","103988015","150","gen-0.0","err6"
"132","moss","8x","23.dat","0.01","8.04228999091685","0.00319427640632752","103988016","150","gen-0.0","err6"
"133","moss","8x","25.dat","0.0","8.04204272179681","0.00295739574913012","103988016","150","gen-0.0","err6"
"134","moss","8x","25.dat","0.001","8.04241800744592","0.00272178615598817","103988016","150","gen-0.0","err6"
"135","moss","8x","25.dat","0.01","8.04225218355446","0.00149713920736494","103988016","150","gen-0.0","err6"
"136","moss","8x","HiSeq2500L150R.dat","0.0","8.0422056364972","0.0147723543865481","103988016","150","gen-0.0","err6"
"137","moss","8x","HiSeq2500L150R.dat","0.001","8.04215181646225","0.0143855219808299","103988016","150","gen-0.0","err6"
"138","moss","8x","HiSeq2500L150R.dat","0.01","8.04248346424519","0.0135180581197317","103988016","150","gen-0.0","err6"
"139","moss","8x","MiSeqv3L250R.dat","0.0","8.04236709660205","0.0102254197246735","103988016","150","gen-0.0","err6"
"140","moss","8x","MiSeqv3L250R.dat","0.001","8.04257801295523","0.00987801317933557","103988016","150","gen-0.0","err6"
"141","moss","8x","MiSeqv3L250R.dat","0.01","8.04255328483107","0.00865699448730206","103988016","150","gen-0.0","err6"
"142","moss","8x","novaseq-profR.dat","0.0","8.04161652530384","0.0023157348627918","103988016","150","gen-0.0","err6"
"143","moss","8x","novaseq-profR.dat","0.001","8.04231036737602","0.00206844053851496","103988016","150","gen-0.0","err6"
"144","moss","8x","novaseq-profR.dat","0.01","8.04264201515896","0.000889515646759764","103988015","150","gen-0.0","err6"
"145","rotifer","1x","20.dat","0.0","1.00178570757969","0.00979596764251223","101125688","150","gen-0.0","err6"
"146","rotifer","1x","20.dat","0.001","1.00109915035767","0.00979934894771839","101125688","150","gen-0.0","err6"
"147","rotifer","1x","20.dat","0.01","1.00155386363761","0.00988614542999211","101125688","150","gen-0.0","err6"
"148","rotifer","1x","23.dat","0.0","1.00112308263556","0.00489453012020635","101125688","150","gen-0.0","err6"
"149","rotifer","1x","23.dat","0.001","1.00134445620606","0.00491020556562194","101125687","150","gen-0.0","err6"
"150","rotifer","1x","23.dat","0.01","1.00155835093972","0.00484663633956117","101125688","150","gen-0.0","err6"
"151","rotifer","1x","25.dat","0.0","1.00163762661023","0.00310671934762541","101125687","150","gen-0.0","err6"
"152","rotifer","1x","25.dat","0.001","1.0015733086134","0.00307163830910784","101125687","150","gen-0.0","err6"
"153","rotifer","1x","25.dat","0.01","1.00161369433234","0.00295569850585942","101125688","150","gen-0.0","err6"
"154","rotifer","1x","HiSeq2500L150R.dat","0.0","1.00115598951766","0.0154432140003503","101125688","150","gen-0.0","err6"
"155","rotifer","1x","HiSeq2500L150R.dat","0.001","1.0012247948166","0.0154509214176158","101125688","150","gen-0.0","err6"
"156","rotifer","1x","HiSeq2500L150R.dat","0.01","1.0018934028302","0.0155857597133819","101125688","150","gen-0.0","err6"
"157","rotifer","1x","MiSeqv3L250R.dat","0.0","1.00143719378289","0.0103462873794503","101125688","150","gen-0.0","err6"
"158","rotifer","1x","MiSeqv3L250R.dat","0.001","1.0011021418924","0.0103945472997951","101125688","150","gen-0.0","err6"
"159","rotifer","1x","MiSeqv3L250R.dat","0.01","1.00148206680394","0.0104042348351682","101125688","150","gen-0.0","err6"
"160","rotifer","1x","novaseq-profR.dat","0.0","1.00096901859663","0.0024170914642504","101125688","150","gen-0.0","err6"
"161","rotifer","1x","novaseq-profR.dat","0.001","1.00175429646496","0.00241308612908309","101125688","150","gen-0.0","err6"
"162","rotifer","1x","novaseq-profR.dat","0.01","1.00117992179555","0.00226425641946171","101125688","150","gen-0.0","err6"
"163","rotifer","2x","20.dat","0.0","2.00232394517427","0.00979772597339856","101125688","150","gen-0.0","err6"
"164","rotifer","2x","20.dat","0.001","2.00224018220164","0.00977889709756541","101125688","150","gen-0.0","err6"
"165","rotifer","2x","20.dat","0.01","2.00322290136258","0.00986139085996141","101125688","150","gen-0.0","err6"
"166","rotifer","2x","23.dat","0.0","2.0037823183583","0.00490271279152388","101125687","150","gen-0.0","err6"
"167","rotifer","2x","23.dat","0.001","2.00251390763003","0.00490159163141868","101125687","150","gen-0.0","err6"
"168","rotifer","2x","23.dat","0.01","2.00338294847098","0.00491630599516046","101125688","150","gen-0.0","err6"
"169","rotifer","2x","25.dat","0.0","2.00264553515844","0.00306546103170779","101125688","150","gen-0.0","err6"
"170","rotifer","2x","25.dat","0.001","2.00215941076376","0.00298750209842824","101125688","150","gen-0.0","err6"
"171","rotifer","2x","25.dat","0.01","2.00221624992375","0.00309709817081283","101125688","150","gen-0.0","err6"
"172","rotifer","2x","HiSeq2500L150R.dat","0.0","2.00307332462576","0.0154068338715121","101125688","150","gen-0.0","err6"
"173","rotifer","2x","HiSeq2500L150R.dat","0.001","2.00124400113439","0.0153846522014849","101125687","150","gen-0.0","err6"
"174","rotifer","2x","HiSeq2500L150R.dat","0.01","2.0035848770657","0.0155314667525058","101125688","150","gen-0.0","err6"
"175","rotifer","2x","MiSeqv3L250R.dat","0.0","2.00314960876154","0.0103622483208665","101125688","150","gen-0.0","err6"
"176","rotifer","2x","MiSeqv3L250R.dat","0.001","2.00279361612789","0.0103061059243","101125688","150","gen-0.0","err6"
"177","rotifer","2x","MiSeqv3L250R.dat","0.01","2.00290131137841","0.0104152207122836","101125688","150","gen-0.0","err6"
"178","rotifer","2x","novaseq-profR.dat","0.0","2.00208163086061","0.00239705606861007","101125688","150","gen-0.0","err6"
"179","rotifer","2x","novaseq-profR.dat","0.001","2.0028968240763","0.00238240848458093","101125688","150","gen-0.0","err6"
"180","rotifer","2x","novaseq-profR.dat","0.01","2.00212500811429","0.00240453885283654","101125688","150","gen-0.0","err6"
"181","rotifer","4x","20.dat","0.0","4.00510110786111","0.00982880082126658","101125688","150","gen-0.0","err6"
"182","rotifer","4x","20.dat","0.001","4.0063545609157","0.00971457565084388","101125687","150","gen-0.0","err6"
"183","rotifer","4x","20.dat","0.01","4.00566949946104","0.00990274562238758","101125688","150","gen-0.0","err6"
"184","rotifer","4x","23.dat","0.0","4.00577569894419","0.00488480055849905","101125688","150","gen-0.0","err6"
"185","rotifer","4x","23.dat","0.001","4.0052192734832","0.00476460885479568","101125688","150","gen-0.0","err6"
"186","rotifer","4x","23.dat","0.01","4.00547953700527","0.00497091101502212","101125688","150","gen-0.0","err6"
"187","rotifer","4x","25.dat","0.0","4.00602399632731","0.00304855682137728","101125688","150","gen-0.0","err6"
"188","rotifer","4x","25.dat","0.001","4.00554086346737","0.00299531002728881","101125688","150","gen-0.0","err6"
"189","rotifer","4x","25.dat","0.01","4.00602549209468","0.00314629157330371","101125688","150","gen-0.0","err6"
"190","rotifer","4x","HiSeq2500L150R.dat","0.0","4.0039568458244","0.0155395630829778","101125688","150","gen-0.0","err6"
"191","rotifer","4x","HiSeq2500L150R.dat","0.001","4.00599108944521","0.0155063031290409","101125688","150","gen-0.0","err6"
"192","rotifer","4x","HiSeq2500L150R.dat","0.01","4.00580711005892","0.0147572309292514","101125688","150","gen-0.0","err6"
"193","rotifer","4x","MiSeqv3L250R.dat","0.0","4.00590433493786","0.0103738644726019","101125688","150","gen-0.0","err6"
"194","rotifer","4x","MiSeqv3L250R.dat","0.001","4.00733726761191","0.0102528734980714","101125688","150","gen-0.0","err6"
"195","rotifer","4x","MiSeqv3L250R.dat","0.01","4.0057278343884","0.01043918166451","101125688","150","gen-0.0","err6"
"196","rotifer","4x","novaseq-profR.dat","0.0","4.00523123962215","0.0023680545260617","101125688","150","gen-0.0","err6"
"197","rotifer","4x","novaseq-profR.dat","0.001","4.00560817299894","0.00227032051101861","101125687","150","gen-0.0","err6"
"198","rotifer","4x","novaseq-profR.dat","0.01","4.00546308356422","0.00245991387026545","101125688","150","gen-0.0","err6"
"199","rotifer","8x","20.dat","0.0","8.01213025985988","0.00981895852359027","101125688","150","gen-0.0","err6"
"200","rotifer","8x","20.dat","0.001","8.01276745675876","0.00973069990828346","101125687","150","gen-0.0","err6"
"201","rotifer","8x","20.dat","0.01","8.01137938464102","0.00900062911176946","101125688","150","gen-0.0","err6"
"202","rotifer","8x","23.dat","0.0","8.01113407879263","0.00486527979322038","101125688","150","gen-0.0","err6"
"203","rotifer","8x","23.dat","0.001","8.01148109682206","0.00477032355184515","101125688","150","gen-0.0","err6"
"204","rotifer","8x","23.dat","0.01","8.01067487821058","0.00491302984080644","101125687","150","gen-0.0","err6"
"205","rotifer","8x","25.dat","0.0","8.01122831213683","0.00301933869741433","101125688","150","gen-0.0","err6"
"206","rotifer","8x","25.dat","0.001","8.00976246011595","0.0029313426609342","101125688","150","gen-0.0","err6"
"207","rotifer","8x","25.dat","0.01","8.01135545236313","0.00308037453632104","101125688","150","gen-0.0","err6"
"208","rotifer","8x","HiSeq2500L150R.dat","0.0","8.01194328893885","0.0155056656461148","101125688","150","gen-0.0","err6"
"209","rotifer","8x","HiSeq2500L150R.dat","0.001","8.01244736254195","0.0154786559732586","101125688","150","gen-0.0","err6"
"210","rotifer","8x","HiSeq2500L150R.dat","0.01","8.0117054619273","0.0150435249996926","101125688","150","gen-0.0","err6"
"211","rotifer","8x","MiSeqv3L250R.dat","0.0","8.01107873540001","0.0103245182889889","101125687","150","gen-0.0","err6"
"212","rotifer","8x","MiSeqv3L250R.dat","0.001","8.01176977992414","0.0102258863865101","101125688","150","gen-0.0","err6"
"213","rotifer","8x","MiSeqv3L250R.dat","0.01","8.01251467207352","0.00951461820984245","101125687","150","gen-0.0","err6"
"214","rotifer","8x","novaseq-profR.dat","0.0","8.01065094593269","0.00234337992663158","101125688","150","gen-0.0","err6"
"215","rotifer","8x","novaseq-profR.dat","0.001","8.01232321385039","0.00219837011151169","101125688","150","gen-0.0","err6"
"216","rotifer","8x","novaseq-profR.dat","0.01","8.01110865074737","0.00238494557781777","101125688","150","gen-0.0","err6"
"217","club-moss","1x","20.dat","0.0","1.8346271783096","0.0131987404538316","114146397","150","noref","def"
"218","club-moss","1x","20.dat","0.001","1.80556055683875","0.0132018045445289","115976180","150","noref","def"
"219","club-moss","1x","20.dat","0.01","1.57046769869145","0.012890171628911","133319445","150","noref","def"
"220","club-moss","1x","23.dat","0.0","1.70686583442574","0.00760342255168822","122700964","150","noref","def"
"221","club-moss","1x","23.dat","0.001","1.68158869138409","0.00763824549302516","124545099","150","noref","def"
"222","club-moss","1x","23.dat","0.01","1.46479733373883","0.00729153112712078","142933175","150","noref","def"
"223","club-moss","1x","25.dat","0.0","1.67189672347487","0.00552137879736869","125252248","150","noref","def"
"224","club-moss","1x","25.dat","0.001","1.63576817809889","0.0054606856676177","128011061","150","noref","def"
"225","club-moss","1x","25.dat","0.01","1.42895598851942","0.0051679286079056","146570967","150","noref","def"
"226","club-moss","1x","HiSeq2500L150R.dat","0.0","1.98400798442486","0.0194199182512333","105557831","150","noref","def"
"227","club-moss","1x","HiSeq2500L150R.dat","0.001","1.94916687591676","0.0194005532559447","107435118","150","noref","def"
"228","club-moss","1x","HiSeq2500L150R.dat","0.01","1.71295601993987","0.0192758059716883","122256417","150","noref","def"
"229","club-moss","1x","MiSeqv3L250R.dat","0.0","1.88649360031687","0.0145239083281267","111001452","150","noref","def"
"230","club-moss","1x","MiSeqv3L250R.dat","0.001","1.83055357278509","0.0143583772908811","114417269","150","noref","def"
"231","club-moss","1x","MiSeqv3L250R.dat","0.01","1.60169288645011","0.013966271052232","130753987","150","noref","def"
"232","club-moss","1x","novaseq-profR.dat","0.0","1.65674272147288","0.00469684865452935","126381205","150","noref","def"
"233","club-moss","1x","novaseq-profR.dat","0.001","1.62860687013837","0.00470128921498947","128600049","150","noref","def"
"234","club-moss","1x","novaseq-profR.dat","0.01","1.41756395997798","0.00438378084593294","147726560","150","noref","def"
"235","club-moss","2x","20.dat","0.0","2.90806474880274","0.012396880869204","144001631","150","noref","def"
"236","club-moss","2x","20.dat","0.001","2.85095216937931","0.012309389792011","146909149","150","noref","def"
"237","club-moss","2x","20.dat","0.01","2.52761508447926","0.0116700321253289","165676300","150","noref","def"
"238","club-moss","2x","23.dat","0.0","2.74707695136542","0.00683989996672718","152439611","150","noref","def"
"239","club-moss","2x","23.dat","0.001","2.70722563185202","0.00679608765707096","154703356","150","noref","def"
"240","club-moss","2x","23.dat","0.01","2.42152370894357","0.00624249485254103","172946999","150","noref","def"
"241","club-moss","2x","25.dat","0.0","2.68577751147477","0.00462962700083935","155933494","150","noref","def"
"242","club-moss","2x","25.dat","0.001","2.6339309091617","0.00456595277745953","159011234","150","noref","def"
"243","club-moss","2x","25.dat","0.01","2.37706279890785","0.00412768905590788","176190860","150","noref","def"
"244","club-moss","2x","HiSeq2500L150R.dat","0.0","3.06941393514711","0.0183605487088866","136445235","150","noref","def"
