sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
moss_0.01_4x_23.hist	66231876	6491746	1305220	543585	278304	170944	152150	135913	138781	70777	39760	44928	62463	57094	29543	13653	21656	28909	31262	17019	11038	3448	7431	14448	19634	10907	2461	791	262	130	12250	13871	5547	638	202	11	2	9303	1859	102	8889	3642	1932	723	119	38	16	4	0	15466
moss_0.0_2x_20.hist	53886450	11632510	2033488	868275	479249	297793	258900	127200	102657	117438	136988	154795	65739	36339	18803	22244	35283	47102	65348	35577	23076	7210	4567	8880	18974	60718	30122	9699	3232	1615	477	140	55	5	29611	27495	7903	4310	861	46	14	4	1	0	0	0	0	0	0	49663
moss_0.001_8x_20.hist	55290603	9972588	2299438	979920	537882	347011	280601	137862	165293	108993	67485	76257	76855	42484	26371	38159	57602	23999	29034	15806	28235	33987	14726	20914	2437	7797	18558	23893	7963	3980	1178	349	138	14	3	0	0	0	2381191	132287	44094	18070	9590	3595	598	198	87	28	8	4
moss_0.0_2x_23.hist	51314980	10804487	1914096	817572	451727	280853	244431	120091	108533	124161	144829	130767	50204	27752	17068	24698	39176	52298	70624	38450	24939	7792	3375	3659	7818	25018	59542	19173	6390	3194	945	279	110	11	2	12022	29966	16344	3267	180	59	23	11	3	0	0	0	0	0	42551
moss_0.0_8x_25.hist	52991276	6766441	1549306	623314	319984	201815	233326	135191	181497	92562	74231	83880	59160	32703	40505	56072	32322	30415	15647	38515	34927	13287	10589	20589	22113	12284	3643	9715	18155	9076	2688	797	9471	15626	4970	309	88	8284	10600	587	194	78	4880	10566	1760	585	261	86	1720	14233
moss_0.01_8x_25.hist	66377841	5407273	1223902	484450	246315	155177	147871	132090	101019	61178	71361	41869	57493	36025	26607	38501	26780	12397	26099	17132	11111	5432	17524	5126	10954	10080	2275	3223	10800	5399	1598	474	11405	4610	1466	90	793	11505	2300	126	41	15	6650	4678	778	258	114	37	11	10320
moss_0.0_4x_20.hist	51356409	15139114	2398401	1024742	566674	352499	267870	131607	167031	191083	143507	70773	36852	60849	75497	66267	38200	15915	12021	29589	55890	42659	18484	5407	8818	28219	39201	12623	4206	2102	621	1242	52106	6009	1911	118	33	17	7573	22438	7478	3063	1625	608	100	32	13	3	0	36409
moss_0.01_4x_25.hist	65824571	6142840	1275903	527897	264620	164712	172169	153795	104741	53417	52696	59546	65761	36351	18810	23528	37320	43922	6986	4372	8257	13518	25253	7388	1869	5981	9409	3029	12474	6236	1846	547	1262	3787	18231	1138	326	176	34	0	6082	6592	3498	1310	217	71	31	9	2	13312
moss_0.0_8x_20.hist	53874642	8343557	1777162	737624	373564	234600	272029	146888	188685	96228	84328	95290	49720	42087	52218	43721	25869	34534	35904	19547	27817	36418	15780	4616	8688	27801	24883	8012	2669	1333	394	116	31280	34913	11107	693	198	107	20	0	0	1	0	0	0	0	0	0	0	0
moss_0.01_2x_23.hist	65731841	7714668	1371754	580063	311252	189979	110632	92720	140055	128644	62285	30716	18112	29905	37103	53689	58826	24509	3898	2520	4759	7791	37006	26348	1548	859	193	61	21524	10761	3187	946	377	42	12	0	4325	22055	4410	244	80	31	15	4	0	0	0	0	0	23897
moss_0.001_2x_25.hist	51703004	11131984	1912126	816026	449731	279202	228663	112344	112818	129063	150547	119068	45712	25268	18420	26654	42279	56440	61499	33481	21717	6785	2939	3575	7639	24443	58175	19678	6558	3278	970	287	113	12	2	8698	30694	16741	3347	184	60	23	11	3	0	0	0	0	0	41502
moss_0.01_1x_25.hist	64055606	8977481	1434611	592829	333750	209709	312968	153765	60543	34430	40160	45380	63092	104174	61761	19650	11326	4718	3914	9635	18198	29792	43717	12791	751	416	93	28	8	3	0	0	36502	16398	5216	325	92	49	8	0	0	0	0	0	0	0	0	0	0	36132
moss_0.01_2x_20.hist	66903601	8445241	1434998	609024	330325	203056	158786	78013	70336	80463	93857	106058	44048	24348	12598	18230	28916	38601	41492	22589	14651	4577	1982	1679	3588	11481	27323	15572	5189	2593	767	227	89	9	1	4464	18821	10265	2052	113	36	14	6	1	0	0	0	0	0	26088
moss_0.01_4x_20.hist	67663901	7864090	1419962	598114	317211	192058	127405	113808	171909	98220	47554	26119	36313	59958	67131	21358	12311	11916	25085	33653	21828	6820	2954	3045	6506	20819	15811	5090	1695	846	249	422	23667	2729	867	53	14	6	0	14615	4870	1995	1058	395	64	20	8	1	0	16833
moss_0.01_8x_23.hist	66467722	5522678	1246928	493187	251261	158143	150302	120694	114420	58353	63064	63017	30294	50019	35479	20470	32469	20310	10038	24710	17658	5517	6563	12761	13267	7369	1663	2692	12570	6284	1861	2818	2765	8294	6006	374	106	2714	9291	515	170	68	4010	5915	984	327	145	47	14	10259
moss_0.0_4x_23.hist	52195716	9097198	1810844	765112	409536	249557	207590	185436	217333	110839	63137	71344	85889	47478	24567	31667	50229	67054	10666	15846	29932	44642	19344	5659	4410	14113	33589	18224	6073	3035	898	265	9594	25223	8024	500	142	76	14	10618	12427	5092	2702	1012	167	54	23	6	1	27605
moss_0.001_4x_23.hist	53668041	8846332	1735328	733777	393687	240285	209771	187385	193529	98698	67840	76658	72228	39927	37577	54376	41754	17396	14727	36250	55336	17291	7492	3986	8517	27254	29372	9457	3151	1574	465	137	38085	4647	1477	91	25	12	1	21520	7412	3037	1611	603	99	32	13	3	0	25707
moss_0.0_1x_25.hist	51140745	9449819	1730724	740638	411385	256558	270020	132664	79317	90738	105842	119601	102804	56829	29406	9355	7231	9652	20320	50017	94476	47722	20678	6049	354	196	43	12	3	0	435	870	85318	9841	3130	194	54	28	4	0	0	0	0	0	0	0	0	0	0	53781
moss_0.001_2x_20.hist	55630496	11167991	1988525	846313	462792	285948	230136	113068	112781	129020	150498	120826	46387	25642	22725	32884	52160	69631	45793	24931	16170	5052	3457	6721	14362	45960	45748	14731	4909	2453	726	214	84	8	1	9489	31043	16931	3385	187	61	24	11	3	0	0	0	0	0	43934
moss_0.0_1x_23.hist	51262015	10715366	1895674	811379	450897	281283	317386	155935	65603	75049	87542	98921	137530	83153	43028	13689	7890	8652	18214	44833	84684	48772	21133	6183	362	200	44	13	3	0	26932	53864	31416	3623	1151	70	19	9	0	0	0	0	0	0	0	0	0	0	0	61650
