sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
moss_0.01_4x_25.hist	65896589	6161396	1285688	530653	263858	165423	184392	164714	68492	78354	81179	40034	33718	55674	42265	15084	23926	31939	21733	11831	7673	9864	27666	8094	795	2544	6054	16144	7640	3819	1130	334	132	397	21600	1349	386	210	41	1	5352	6804	3611	1353	224	73	32	9	2	13853
moss_0.001_1x_20.hist	60029383	8606003	2003776	736067	422172	268084	322705	288267	227602	116076	56200	27715	16788	27719	34391	49765	78936	105377	52386	28520	18498	5779	2503	731	42	22	4	0	1135	15892	83114	24694	9876	1138	361	21	5	1	0	0	0	0	0	0	0	0	0	0	0	60188
moss_0.0_4x_novaseq_profR.hist	52085983	7868754	1681507	701967	362132	224413	234412	209396	158272	80717	85292	96379	59442	32859	38220	55305	31881	18452	38846	40101	26011	8127	13657	26555	22103	12278	2771	7389	20303	10150	3006	892	13874	16589	5277	328	93	50	9	8508	14032	5750	3051	1143	189	62	26	7	1	22882
moss_0.01_2x_novaseq_profR.hist	65331456	7102758	1285340	544615	293976	180154	127410	62597	93628	107110	107765	53146	20403	24531	30436	44042	53917	22464	3572	3182	6009	9837	46727	13672	803	445	99	31	7534	22218	6582	1954	780	89	27	0	0	9433	19090	1059	352	143	75	27	3	0	0	0	0	21797
moss_0.01_1x_20.hist	63713791	15062615	1952350	832786	466712	292537	348631	171287	67809	77572	90485	102247	39254	21699	12955	18747	29735	39695	80350	43745	28374	8865	3840	1122	65	35	6	1	0	0	58859	19645	7857	905	287	16	3	1	0	0	0	0	0	0	0	0	0	0	0	49930
moss_0.0_8x_25.hist	52980356	6759524	1548118	622946	319957	201645	206489	184453	148796	86470	100863	61944	40264	66481	44815	28711	30385	40563	38414	20913	16398	26845	20025	11034	23577	15267	3446	1108	16015	18028	5340	1585	3727	11180	9128	569	162	9398	10035	556	184	74	4307	11804	1966	654	292	96	31	15216
moss_0.01_4x_HiSeq2500L150R.hist	68649567	10639033	1706534	720665	385158	234457	125300	102631	155026	141717	68615	33838	25113	41464	51446	60252	34732	14471	7403	18222	34418	10754	7371	14332	16685	9268	2091	672	1914	26801	7940	2358	942	107	33	1	0	23853	8686	481	159	64	33	11	0	0	0	0	0	24017
moss_0.0_8x_MiSeqv3L250R.hist	53162733	7131233	1599805	661260	330401	209072	289587	142277	128470	146969	71158	53064	73775	55072	28497	30935	49068	47833	9418	23182	43788	21780	9437	7843	16758	27543	6218	2001	2055	28779	8526	2532	1011	115	18153	1133	5322	9568	1912	105	34	2628	12913	4841	805	267	118	38	11	17824
moss_0.0_1x_25.hist	52987491	6782526	1570001	596323	341100	216118	316630	282841	150717	76865	37215	23692	32939	54386	67479	97645	59321	24716	3931	2544	4805	7866	37366	71855	4225	2346	528	169	55	26	6	1	50992	22023	7006	436	124	66	12	0	0	0	0	0	0	0	0	0	0	46893
moss_0.0_4x_20.hist	51319908	15145053	2387606	1020360	564592	351339	266682	131024	161644	184919	159135	78480	30130	49748	61724	76322	43996	18331	11705	28813	54424	41043	17784	5202	7897	25271	47223	15206	5067	2532	3821	7642	33616	3876	1232	76	20	10	30810	11284	3760	1540	816	305	49	15	6	1	0	37962
moss_0.01_1x_25.hist	64419432	8814924	1383973	591029	326379	202859	243885	217859	85781	43747	26905	30402	42267	69788	86588	29311	16896	7039	2028	4992	9428	15435	66873	19567	1150	637	143	45	14	6	0	0	9005	27016	14301	892	255	138	26	0	0	0	0	0	0	0	0	0	0	37935
moss_0.01_8x_23.hist	66615308	5508940	1244649	492491	250167	157529	156454	115651	117588	59968	55882	63145	39991	35933	44583	23642	20088	26816	22589	12297	8140	13326	21107	6175	1790	5729	13634	7052	2349	1173	7610	8339	3334	383	1964	7648	2198	1197	8094	448	148	59	2414	7400	1232	409	182	59	18	9495
moss_0.01_2x_23.hist	65487217	7774568	1346803	571999	310908	191382	152266	74809	72362	82781	96561	91446	35107	19406	15947	23075	36601	48860	29853	16252	10541	3293	1588	3088	6597	21112	27031	8704	2900	1449	428	126	49	4	0	2542	20351	11099	2218	122	39	15	7	1	0	0	0	0	0	25267
moss_0.001_2x_23.hist	52635299	11126338	1924653	821311	452589	280946	236985	116433	99863	114243	133260	150583	58955	32589	16863	17947	28467	38003	80005	43557	28252	8827	3824	2458	5252	16805	39996	29892	9963	4980	1474	437	173	19	5	19681	23960	13068	2612	144	47	18	8	2	0	0	0	0	0	42319
moss_0.0_2x_25.hist	50769277	10584395	1900923	810455	445397	276047	225325	110704	119613	136836	159615	105879	40649	22469	23840	34497	54719	73048	34390	18722	12143	3793	13001	25280	54019	30009	6775	2180	725	361	6566	13132	21284	2454	779	47	12	35341	7067	391	129	52	26	8	0	0	0	0	0	41783
moss_0.001_4x_MiSeqv3L250R.hist	53386750	9622729	1778981	756340	412357	254312	189208	104816	158325	181123	87694	43248	39811	65734	81558	25949	14958	18158	38227	53450	34669	10833	6159	11976	25591	33153	7485	2409	802	400	25231	7496	13802	9033	2873	178	50	26	4	21729	7242	2967	1573	589	97	31	13	3	0	27048
moss_0.0_4x_MiSeqv3L250R.hist	51740610	10229235	1873473	797228	435742	269155	200837	114314	172673	181851	88047	43421	45201	74634	83865	26683	15381	17173	36153	56857	36879	11523	4992	7697	16446	52629	15137	4873	1623	810	5473	10946	31830	3671	1167	71	19	9	0	23780	7925	3247	1722	644	106	34	14	3	0	30086
moss_0.001_2x_25.hist	51593158	11261835	1914063	818111	452875	281885	247481	121590	89602	102504	119567	135109	77650	42924	22210	16638	26391	35230	74168	46245	29996	9372	4060	3208	6854	21933	51651	16632	5543	2770	819	242	96	10	2	43051	12856	7011	1401	76	24	9	3	0	0	0	0	0	0	43055
